Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas pants soccer";LOW;60;8100;0.59;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;6600;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;9900;2019-02;9900;2019-01;9900
"adidas soccer pants";LOW;60;8100;0.59;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;6600;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;9900;2019-02;9900;2019-01;9900
"soccer pants adidas";LOW;60;8100;0.59;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;9900;2019-09;6600;2019-08;6600;2019-07;6600;2019-06;5400;2019-05;6600;2019-04;8100;2019-03;9900;2019-02;9900;2019-01;9900
"adidas tiro 17 pants";LOW;55;8100;0.75;100;2020-04;4400;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;9900;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;8100;2019-06;8100;2019-05;9900;2019-04;9900;2019-03;14800;2019-02;12100;2019-01;14800
"adidas sweats";LOW;67;8100;0.91;100;2020-04;6600;2020-03;5400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;5400;2019-06;4400;2019-06;4400
"adidas soccer shoes";LOW;60;8100;0.72;100;2020-04;3600;2020-03;6600;2020-02;8100;2020-01;6600;2019-12;6600;2019-11;8100;2019-10;8100;2019-09;8100;2019-08;9900;2019-07;9900;2019-06;8100;2019-06;8100
"red adidas pants";LOW;60;8100;0.85;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;6600;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;6600;2019-08;8100;2019-07;6600;2019-06;6600;2019-06;6600
"adidas mens soccer pants";LOW;46;1300;0.95;100;2020-04;1000;2020-03;720;2020-02;1000;2020-01;1000;2019-12;2900;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;1000;2019-06;1000;2019-05;1300;2019-04;1600;2019-03;1900;2019-02;1900;2019-01;1900
"womens adidas soccer pants";LOW;46;1300;0.57;100;2020-01;1000;2019-12;2400;2019-11;1900;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;720;2019-05;880;2019-04;1000;2019-03;1600;2019-02;1300;2019-01;1600
"adidas soccer pants men's";LOW;46;1300;0.95;100;2020-04;1000;2020-03;720;2020-02;1000;2020-01;1000;2019-12;2900;2019-11;2400;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;1000;2019-06;1000;2019-05;1300;2019-04;1600
"womens soccer pants adidas";LOW;46;1300;0.57;100;2020-01;1000;2019-12;2400;2019-11;1900;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;720;2019-05;880;2019-04;1000;2019-03;1600;2019-02;1300;2019-01;1600
"adidas soccer pants women&#39;s";LOW;46;1300;0.85;100;2020-04;880;2020-03;720;2020-02;1000;2020-01;1000;2019-12;2400;2019-11;1900;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;720;2019-05;880;2019-04;1000;2019-03;1600;2019-02;1300;2019-01;1600
"adidas soccer pants women";LOW;46;1300;0.85;100;2020-04;880;2020-03;720;2020-02;1000;2020-01;1000;2019-12;2400;2019-11;1900;2019-10;1300;2019-09;1000;2019-08;1000;2019-07;880;2019-06;720;2019-05;880;2019-04;1000;2019-03;1600;2019-02;1300;2019-01;1600
"red adidas sweatpants";LOW;51;1300;0.72;100;2020-04;1000;2020-03;1000;2020-02;1300;2020-01;1300;2019-12;1900;2019-11;1600;2019-10;1300;2019-09;1000;2019-08;1300;2019-07;1000;2019-06;880;2019-06;880
