Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"adidas tracksuit pants";LOW;70;27100;1.09;100;2020-04;22200;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;40500;2019-11;33100;2019-10;33100;2019-09;27100;2019-08;33100;2019-07;27100;2019-06;22200;2019-05;22200;2019-04;22200;2019-03;33100;2019-02;27100;2019-01;33100
"tracksuit pants adidas";LOW;70;27100;1.19;100;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;40500;2019-11;33100;2019-10;33100;2019-09;27100;2019-08;33100;2019-07;27100;2019-06;22200;2019-05;22200;2019-04;22200;2019-03;33100;2019-02;27100;2019-01;33100
"adidas leggings";LOW;77;27100;1.73;100;2020-04;27100;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;33100;2019-11;33100;2019-10;22200;2019-09;22200;2019-08;27100;2019-07;22200;2019-06;18100;2019-05;22200;2019-04;27100;2019-03;40500;2019-02;33100
"track pants";LOW;77;27100;0.84;100;2020-04;27100;2020-03;22200;2020-02;22200;2020-01;27100;2019-12;27100;2019-11;27100;2019-10;27100;2019-09;27100;2019-08;33100;2019-07;27100;2019-06;22200;2019-06;22200
"adidas tracksuit pants women's";LOW;51;4400;1.3;100;2020-04;5400;2020-03;3600;2020-02;3600;2020-01;4400;2019-12;6600;2019-11;5400;2019-10;5400;2019-09;4400;2019-08;5400;2019-07;4400;2019-06;3600;2019-05;3600;2019-04;4400
"adidas track pants women's";LOW;51;4400;1.3;100;2020-04;5400;2020-03;3600;2020-02;3600;2020-01;4400;2019-12;6600;2019-11;5400;2019-10;5400;2019-09;4400;2019-08;5400;2019-07;4400;2019-06;3600;2019-05;3600;2019-04;4400;2019-03;6600;2019-02;5400;2019-01;5400
"adidas tracksuit red";LOW;55;4400;0.94;100;2020-04;3600;2020-03;2900;2020-02;4400;2020-01;4400;2019-12;8100;2019-11;5400;2019-10;6600;2019-09;3600;2019-08;2900;2019-07;2900;2019-06;2900;2019-05;2900;2019-04;4400;2019-03;4400;2019-02;4400;2019-01;5400
"adidas jogging suit";LOW;55;4400;0.72;100;2020-04;3600;2020-03;2900;2020-02;3600;2020-01;4400;2019-12;6600;2019-11;6600;2019-10;6600;2019-09;4400;2019-08;2900;2019-07;2400;2019-06;1900;2019-06;1900
"red adidas tracksuit";LOW;55;4400;0.94;100;2020-04;3600;2020-03;2900;2020-02;4400;2020-01;4400;2019-12;8100;2019-11;5400;2019-10;6600;2019-09;3600;2019-08;2900;2019-07;2900;2019-06;2900;2019-06;2900
"nike jogger pants";LOW;55;4400;0.7;100;2020-04;3600;2020-03;2900;2020-02;3600;2020-01;3600;2019-12;8100;2019-11;6600;2019-10;5400;2019-09;4400;2019-08;3600;2019-07;2900;2019-06;2400;2019-06;2400
"adidas white tracksuit pants";LOW;45;590;0.79;100;2020-04;480;2020-03;590;2020-02;480;2020-01;480;2019-12;720;2019-11;720;2019-10;720;2019-09;720;2019-08;720;2019-07;590;2019-06;590;2019-05;590;2019-04;590;2019-03;720;2019-02;720;2019-01;880
"adidas tracksuit pants boys";LOW;45;590;1.49;100;2020-04;320;2020-03;390;2020-02;480;2020-01;480;2019-12;880;2019-11;720;2019-10;720;2019-09;480;2019-08;720;2019-07;390;2019-06;320;2019-05;390;2019-04;390;2019-03;720;2019-02;390;2019-01;720
"adidas joggers cheap";LOW;50;590;0.96;100;2020-04;480;2020-03;590;2020-02;480;2020-01;590;2019-12;1000;2019-11;720;2019-10;720;2019-09;480;2019-08;590;2019-07;720;2019-06;480;2019-05;480;2019-04;720;2019-03;880;2019-02;880;2019-01;1000
"adidas track pants white";LOW;45;590;0.79;100;2020-04;480;2020-03;590;2020-02;480;2020-01;480;2019-12;720;2019-11;720;2019-10;720;2019-09;720;2019-08;720;2019-07;590;2019-06;590;2019-05;590;2019-04;590;2019-03;720;2019-02;720;2019-01;880
"adidas originals track pants";LOW;45;590;1.19;100;2020-04;590;2020-03;390;2020-02;390;2020-01;590;2019-12;880;2019-11;880;2019-10;720;2019-09;720;2019-08;590;2019-07;480;2019-06;480;2019-06;480
"tracksuit bottoms";LOW;57;590;1.16;99.7;2020-04;720;2020-03;590;2020-02;590;2020-01;590;2019-12;590;2019-11;720;2019-10;590;2019-09;720;2019-08;590;2019-07;590;2019-06;480;2019-06;480
"nike tapered joggers";LOW;50;590;0.64;100;2020-04;480;2020-03;590;2020-02;720;2020-01;880;2019-12;1300;2019-11;720;2019-10;480;2019-09;590;2019-08;480;2019-07;390;2019-06;260;2019-06;260
"blue adidas joggers";LOW;50;590;1.12;100;2020-04;480;2020-03;590;2020-02;590;2020-01;590;2019-12;880;2019-11;720;2019-10;720;2019-09;590;2019-08;590;2019-07;720;2019-06;480;2019-06;480
