Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike vintage sweatshirt";LOW;62;9900;0.34;100;2020-04;22200;2020-03;14800;2020-02;14800;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400;2019-01;5400
"nike sweatshirt vintage";LOW;62;9900;0.34;100;2020-04;22200;2020-03;14800;2020-02;14800;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400;2019-01;5400
"vintage sweatshirts nike";LOW;62;9900;0.34;100;2020-04;22200;2020-03;14800;2020-02;14800;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400;2019-01;5400
"nike retro";LOW;69;9900;0.51;100;2020-04;12100;2020-03;12100;2020-02;12100;2020-01;9900;2019-12;12100;2019-11;9900;2019-10;8100;2019-09;8100;2019-08;12100;2019-07;9900;2019-06;6600;2019-06;6600
"vintage nike sweatshirt";LOW;58;6600;0.26;100;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400
"vintage sweatshirt nike";LOW;58;6600;0.26;100;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400;2019-01;5400
"vintage hoodies";LOW;66;6600;0.65;100;2020-04;12100;2020-03;6600;2020-02;6600;2020-01;6600;2019-12;9900;2019-11;8100;2019-10;8100;2019-09;6600;2019-08;5400;2019-07;4400;2019-06;2400;2019-06;2400
"pink nike hoodie";LOW;58;6600;0.37;100;2020-04;8100;2020-03;8100;2020-02;9900;2020-01;9900;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"yellow nike hoodie";LOW;58;6600;0.4;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;12100;2019-10;5400;2019-09;3600;2019-08;3600;2019-07;2900;2019-06;1600;2019-06;1600
"nike vintage";LOW;66;6600;0.5;100;2020-04;12100;2020-03;8100;2020-02;8100;2020-01;6600;2019-12;8100;2019-11;6600;2019-10;5400;2019-09;5400;2019-08;6600;2019-07;6600;2019-06;5400;2019-06;5400
"nike vintage crew neck sweatshirt";LOW;41;480;0.3;100;2020-04;1000;2020-03;590;2020-02;720;2020-01;880;2019-12;880;2019-11;720;2019-10;390;2019-09;320;2019-08;260;2019-07;170;2019-06;210;2019-05;90;2019-04;210;2019-03;210;2019-02;210;2019-01;210
"nike vintage sweatshirt womens";LOW;45;480;0.42;100;2020-04;880;2020-03;720;2020-02;590;2020-01;390;2019-12;720;2019-11;590;2019-10;320;2019-09;260;2019-08;320;2019-07;390;2019-06;210;2019-05;260;2019-04;210;2019-03;320;2019-02;320;2019-01;320
"nike womens vintage sweatshirt";LOW;45;480;0.42;100;2020-04;880;2020-03;720;2020-02;590;2020-01;390;2019-12;720;2019-11;590;2019-10;320;2019-09;260;2019-08;320;2019-07;390;2019-06;210;2019-05;260;2019-04;210;2019-03;320;2019-02;320;2019-01;320
