Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike crewneck sweatshirt";LOW;58;6600;0.52;100;2020-04;6600;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;4400;2019-07;2900;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;3600
"nike sweatshirt crewneck";LOW;58;6600;0.52;100;2020-04;6600;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;4400;2019-07;2900;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;3600;2019-01;4400
"vintage nike sweatshirt";LOW;58;6600;0.26;100;2020-01;12100;2019-12;14800;2019-11;12100;2019-10;6600;2019-09;5400;2019-08;5400;2019-07;4400;2019-06;2400;2019-05;1900;2019-04;2400;2019-03;2900;2019-02;4400
"black nike hoodie men's";LOW;53;6600;0.52;100;2020-04;4400;2020-03;5400;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;12100;2019-10;8100;2019-09;5400;2019-08;5400;2019-07;2900;2019-06;1600;2019-05;1900;2019-04;2400;2019-03;0;2019-02;0
"nike sportswear club fleece";LOW;53;6600;0.84;100;2020-04;6600;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;27100;2019-11;14800;2019-10;5400;2019-09;3600;2019-08;2900;2019-07;2400;2019-06;1600;2019-05;1600;2019-04;1300;2019-03;720;2019-02;1300;2019-01;1600
"yellow nike hoodie";LOW;58;6600;0.4;100;2020-04;5400;2020-03;6600;2020-02;8100;2020-01;8100;2019-12;18100;2019-11;12100;2019-10;5400;2019-09;3600;2019-08;3600;2019-07;2900;2019-06;1600;2019-06;1600
"pink nike hoodie";LOW;58;6600;0.37;100;2020-04;8100;2020-03;8100;2020-02;9900;2020-01;9900;2019-12;14800;2019-11;12100;2019-10;8100;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"nike therma hoodie";LOW;58;6600;0.48;100;2020-04;4400;2020-03;4400;2020-02;6600;2020-01;8100;2019-12;14800;2019-11;14800;2019-10;9900;2019-09;5400;2019-08;3600;2019-07;2400;2019-06;1900;2019-06;1900
"womens nike crewneck sweatshirt";LOW;47;1600;0.7;100;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;4400;2019-11;3600;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;720;2019-06;390;2019-05;480;2019-04;720;2019-03;1300;2019-02;1300;2019-01;1600
"nike crewneck sweatshirt womens";LOW;47;1600;0.51;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;4400;2019-11;3600;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;720;2019-06;390;2019-05;480;2019-04;720;2019-03;1300;2019-02;1300
"nike women's crewneck sweatshirt";LOW;47;1600;0.51;100;2020-04;1300;2020-03;1300;2020-02;1300;2020-01;1600;2019-12;4400;2019-11;3600;2019-10;1600;2019-09;1300;2019-08;1300;2019-07;720;2019-06;390;2019-05;480;2019-04;720;2019-03;1300;2019-02;1300;2019-01;1600
"nike crew neck women's";LOW;47;1600;0.58;100;2020-03;1300;2020-02;1600;2020-01;1900;2019-12;4400;2019-11;2900;2019-10;1600;2019-09;1000;2019-08;1000;2019-07;880;2019-06;590;2019-05;480;2019-04;880
