Keyword;Potential;Difficulty;"Search Volume";CPC;Competition;"Trend 1 Date";"Trend 1 Search Volume";"Trend 2 Date";"Trend 2 Search Volume";"Trend 3 Date";"Trend 3 Search Volume";"Trend 4 Date";"Trend 4 Search Volume";"Trend 5 Date";"Trend 5 Search Volume";"Trend 6 Date";"Trend 6 Search Volume";"Trend 7 Date";"Trend 7 Search Volume";"Trend 8 Date";"Trend 8 Search Volume";"Trend 9 Date";"Trend 9 Search Volume";"Trend 10 Date";"Trend 10 Search Volume";"Trend 11 Date";"Trend 11 Search Volume";"Trend 12 Date";"Trend 12 Search Volume";"Trend 13 Date";"Trend 13 Search Volume";"Trend 14 Date";"Trend 14 Search Volume";"Trend 15 Date";"Trend 15 Search Volume";"Trend 16 Date";"Trend 16 Search Volume"
"nike black sweatshirt";LOW;55;4400;0.58;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;2900;2019-01;2900
"nike sweatshirt black";LOW;55;4400;0.58;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;2900;2019-01;2900
"black sweatshirt nike";LOW;55;4400;0.58;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;2900;2019-01;2900
"black nike sweatshirt";LOW;55;4400;0.58;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-05;1600;2019-04;1900;2019-03;2900;2019-02;2900
"black nike hoodie women's";LOW;51;4400;0.53;100;2020-04;3600;2020-03;3600;2020-02;4400;2020-01;5400;2019-12;9900;2019-11;8100;2019-10;4400;2019-09;2900;2019-08;2900;2019-07;1900;2019-06;1000;2019-05;1000;2019-04;1600;2019-03;2900;2019-02;2900;2019-01;3600
"nike camo hoodie";LOW;55;4400;0.43;100;2020-04;3600;2020-03;4400;2020-02;5400;2020-01;5400;2019-12;9900;2019-11;8100;2019-10;5400;2019-09;3600;2019-08;2900;2019-07;2400;2019-06;1600;2019-06;1600
"nike hoodie sale";LOW;55;4400;0.52;99.7;2020-04;2900;2020-03;2900;2020-02;4400;2020-01;5400;2019-12;14800;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;2400;2019-07;1600;2019-06;880;2019-06;880
"adidas sweatshirt mens";LOW;55;4400;1.45;100;2020-04;2400;2020-03;2400;2020-02;3600;2020-01;4400;2019-12;12100;2019-11;9900;2019-10;6600;2019-09;4400;2019-08;3600;2019-07;2400;2019-06;1600;2019-06;1600
"black nike sweatshirt womens";LOW;45;880;0.57;100;2020-04;720;2020-03;720;2020-02;720;2020-01;1000;2019-12;2400;2019-11;1900;2019-10;1000;2019-09;720;2019-08;590;2019-07;590;2019-06;320;2019-05;320;2019-04;320;2019-03;720;2019-02;720
"nike cowl neck hoodie";LOW;45;880;0.51;100;2020-04;590;2020-03;590;2020-02;720;2020-01;1000;2019-12;1900;2019-11;1300;2019-10;880;2019-09;880;2019-08;720;2019-07;480;2019-06;480;2019-06;480
"mens grey sweatshirt";LOW;50;880;1.32;100;2020-04;720;2020-03;590;2020-02;720;2020-01;1000;2019-12;1300;2019-11;1300;2019-10;1000;2019-09;720;2019-08;590;2019-07;480;2019-06;390;2019-06;390
"nike sweatshirt sale";LOW;50;880;0.54;100;2020-04;720;2020-03;590;2020-02;880;2020-01;880;2019-12;2400;2019-11;1900;2019-10;1300;2019-09;720;2019-08;480;2019-07;320;2019-06;210;2019-06;210
"nike zip hoodie mens";LOW;45;880;0.57;100;2020-04;590;2020-03;720;2020-02;590;2020-01;720;2019-12;2400;2019-11;1600;2019-10;1300;2019-09;590;2019-08;590;2019-07;320;2019-06;170;2019-06;170
"nike crew neck sweater";LOW;45;880;0.51;100;2020-04;1000;2020-03;880;2020-02;880;2020-01;880;2019-12;1900;2019-11;1300;2019-10;1000;2019-09;880;2019-08;720;2019-07;480;2019-06;320;2019-06;320
"nike sweatshirts no hood";LOW;45;880;0.38;100;2020-04;590;2020-03;590;2020-02;880;2020-01;720;2019-12;1900;2019-11;1900;2019-10;1000;2019-09;720;2019-08;590;2019-07;390;2019-06;320;2019-06;320
"nike tech sweater";LOW;50;880;0.47;100;2020-04;390;2020-03;480;2020-02;720;2020-01;590;2019-12;1600;2019-11;1300;2019-10;1600;2019-09;1300;2019-08;1000;2019-07;590;2019-06;390;2019-06;390
"black nike sweatshirt mens";LOW;45;590;0.57;100;2020-04;320;2020-03;390;2020-02;390;2020-01;480;2019-12;1600;2019-11;1000;2019-10;720;2019-09;480;2019-08;390;2019-07;260;2019-06;170;2019-05;210;2019-04;260;2019-03;390;2019-02;390;2019-01;390
"red nike crewneck";LOW;50;590;0.39;100;2020-04;880;2020-03;590;2020-02;880;2020-01;720;2019-12;1300;2019-11;880;2019-10;720;2019-09;390;2019-08;390;2019-07;260;2019-06;260;2019-05;260;2019-04;260;2019-03;320;2019-02;480;2019-01;480
"orange nike hoodie mens";LOW;45;590;0.42;100;2020-04;260;2020-03;390;2020-02;720;2020-01;720;2019-12;1300;2019-11;1000;2019-10;720;2019-09;590;2019-08;390;2019-07;170;2019-06;140;2019-06;140
"nike jumper";LOW;57;590;0.54;100;2020-04;720;2020-03;480;2020-02;480;2020-01;480;2019-12;720;2019-11;720;2019-10;590;2019-09;480;2019-08;590;2019-07;590;2019-06;720;2019-06;720
"nike sweater sale";LOW;50;590;0.52;100;2020-04;390;2020-03;320;2020-02;590;2020-01;480;2019-12;1600;2019-11;1000;2019-10;880;2019-09;590;2019-08;480;2019-07;210;2019-06;140;2019-06;140
"light grey nike hoodie";LOW;45;590;0.49;100;2020-04;480;2020-03;480;2020-02;590;2020-01;720;2019-12;1600;2019-11;1000;2019-10;590;2019-09;390;2019-08;260;2019-07;260;2019-06;170;2019-06;170
"nike cotton hoodie";LOW;50;590;0.55;100;2020-04;480;2020-03;480;2020-02;590;2020-01;720;2019-12;1600;2019-11;1300;2019-10;720;2019-09;480;2019-08;390;2019-07;320;2019-06;210;2019-06;210
"cool nike sweatshirts";LOW;50;590;0.46;100;2020-04;480;2020-03;590;2020-02;720;2020-01;590;2019-12;880;2019-11;1000;2019-10;720;2019-09;480;2019-08;590;2019-07;260;2019-06;110;2019-06;110
"nike hooded sweatshirt mens";LOW;45;590;0.8;100;2020-04;260;2020-03;320;2020-02;480;2020-01;480;2019-12;2400;2019-11;1300;2019-10;720;2019-09;320;2019-08;260;2019-07;140;2019-06;70;2019-06;70
"plain nike hoodie";LOW;50;590;0.54;100;2020-04;480;2020-03;480;2020-02;720;2020-01;590;2019-12;1600;2019-11;1600;2019-10;590;2019-09;320;2019-08;320;2019-07;210;2019-06;110;2019-06;110
"nike hoodie shirt";LOW;50;590;0.59;100;2020-04;1000;2020-03;480;2020-02;590;2020-01;480;2019-12;880;2019-11;590;2019-10;590;2019-09;480;2019-08;480;2019-07;320;2019-06;390;2019-06;390
"black and white nike sweater";LOW;42;590;0.43;100;2020-04;320;2020-03;480;2020-02;480;2020-01;720;2019-12;1000;2019-11;720;2019-10;720;2019-09;590;2019-08;590;2019-07;480;2019-06;260;2019-06;260
"green nike sweater";LOW;50;590;0.4;100;2020-04;480;2020-03;480;2020-02;720;2020-01;590;2019-12;880;2019-11;720;2019-10;720;2019-09;480;2019-08;480;2019-07;260;2019-06;210;2019-06;210
"red nike pullover hoodie";LOW;45;590;0.34;99.9;2020-04;390;2020-03;480;2020-02;590;2020-01;590;2019-12;1600;2019-11;880;2019-10;590;2019-09;480;2019-08;480;2019-07;480;2019-06;210;2019-06;210
"black and grey nike hoodie";LOW;42;590;0.38;100;2020-04;480;2020-03;720;2020-02;880;2020-01;720;2019-12;1000;2019-11;1000;2019-10;880;2019-09;480;2019-08;480;2019-07;320;2019-06;210;2019-06;210
"black nike zip up";LOW;45;590;0.42;100;2020-04;590;2020-03;590;2020-02;590;2020-01;720;2019-12;1300;2019-11;880;2019-10;480;2019-09;480;2019-08;480;2019-07;260;2019-06;210;2019-06;210
"black nike fleece hoodie";LOW;45;590;0.52;100;2020-04;320;2020-03;390;2020-02;590;2020-01;720;2019-12;1600;2019-11;1000;2019-10;720;2019-09;480;2019-08;390;2019-07;260;2019-06;170;2019-06;170
"nike air sweater";LOW;50;590;0.47;100;2020-04;390;2020-03;590;2020-02;720;2020-01;1000;2019-12;1000;2019-11;880;2019-10;880;2019-09;590;2019-08;480;2019-07;260;2019-06;320;2019-06;320
"black nike pullover";LOW;50;590;0.44;100;2020-04;390;2020-03;320;2020-02;590;2020-01;590;2019-12;1000;2019-11;720;2019-10;720;2019-09;480;2019-08;480;2019-07;390;2019-06;320;2019-06;320
"vintage black nike sweatshirt";LOW;44;50;0.37;100;2020-01;50;2019-12;70;2019-11;50;2019-10;40;2019-09;30;2019-08;40;2019-07;50;2019-06;30;2019-05;50;2019-04;40;2019-03;30;2019-02;40;2019-01;30
"nike hoodies under 20";LOW;44;50;0.4;100;2020-04;390;2020-03;90;2020-02;30;2020-01;30;2019-12;20;2019-11;30;2019-10;20;2019-09;10;2019-08;10;2019-07;10;2019-06;20;2019-05;10;2019-04;10
"all white nike sweater";LOW;42;50;0.33;95.2;2020-04;20;2020-03;30;2020-02;50;2020-01;30;2019-12;90;2019-11;90;2019-10;50;2019-09;50;2019-08;40;2019-07;30;2019-06;20;2019-06;20
"nike basic sweatshirt";LOW;49;50;0.68;100;2020-04;30;2020-03;30;2020-02;70;2020-01;40;2019-12;110;2019-11;110;2019-10;30;2019-09;40;2019-08;30;2019-07;30;2019-06;10;2019-06;10
"best nike sweatshirts";LOW;49;50;0.45;100;2020-04;50;2020-03;50;2020-02;70;2020-01;110;2019-12;110;2019-11;90;2019-10;50;2019-09;40;2019-08;40;2019-07;20;2019-06;10;2019-06;10
"nike zip up pullover";LOW;44;50;0.29;100;2020-04;40;2020-03;30;2020-02;40;2020-01;40;2019-12;90;2019-11;70;2019-10;70;2019-09;50;2019-08;50;2019-07;20;2019-06;10;2019-06;10
"nike sweatshirt jacket";LOW;49;50;0.16;100;2020-04;20;2020-03;20;2020-02;50;2020-01;40;2019-12;70;2019-11;110;2019-10;90;2019-09;70;2019-08;20;2019-07;10;2019-06;20;2019-06;20
"black nike jumper";LOW;34;50;0.18;56.4;2020-04;50;2020-03;50;2020-02;70;2020-01;50;2019-12;70;2019-11;70;2019-10;40;2019-09;40;2019-08;40;2019-07;40;2019-06;50;2019-06;50
"grey nike pullover hoodie men's";LOW;36;50;0.08;85.7;2020-04;10;2020-03;20;2020-02;30;2020-01;70;2019-12;90;2019-11;70;2019-10;90;2019-09;20;2019-08;50;2019-07;40;2019-06;70;2019-06;70
"nike sweater without hoodie";LOW;44;50;0.36;99.3;2020-04;40;2020-03;30;2020-02;90;2020-01;50;2019-12;110;2019-11;70;2019-10;70;2019-09;50;2019-08;110;2019-07;50;2019-06;10;2019-06;10
"mens blue nike sweatshirt";LOW;44;50;0.78;100;2020-04;40;2020-03;30;2020-02;50;2020-01;110;2019-12;140;2019-11;90;2019-10;70;2019-09;40;2019-08;30;2019-07;40;2019-06;10;2019-06;10
"black nike hooded sweatshirt";LOW;44;50;1.15;100;2020-04;20;2020-03;30;2020-02;40;2020-01;50;2019-12;210;2019-11;90;2019-10;70;2019-09;50;2019-08;20;2019-07;10;2019-06;10;2019-06;10
"nike hoodie without hood";LOW;44;50;0.79;100;2020-04;20;2020-03;50;2020-02;70;2020-01;40;2019-12;110;2019-11;90;2019-10;90;2019-09;70;2019-08;70;2019-07;50;2019-06;10;2019-06;10
"gray and white nike hoodie";LOW;41;50;0.6;100;2020-04;30;2020-03;40;2020-02;50;2020-01;50;2019-12;170;2019-11;70;2019-10;40;2019-09;30;2019-08;30;2019-07;10;2019-06;40;2019-06;40
"plain grey nike hoodie";LOW;44;50;0.34;100;2020-04;20;2020-03;50;2020-02;70;2020-01;70;2019-12;110;2019-11;110;2019-10;50;2019-09;40;2019-08;30;2019-07;30;2019-06;20;2019-06;20
"nike zip up hoodie blue";LOW;41;50;0.46;100;2020-04;40;2020-03;40;2020-02;50;2020-01;50;2019-12;110;2019-11;70;2019-10;30;2019-09;40;2019-08;40;2019-07;20;2019-06;30;2019-06;30
"nike zip up black";LOW;44;50;0.47;100;2020-04;40;2020-03;50;2020-02;70;2020-01;90;2019-12;110;2019-11;70;2019-10;50;2019-09;50;2019-08;40;2019-07;30;2019-06;20;2019-06;20
"dark blue nike sweater";LOW;44;50;0.32;100;2020-04;30;2020-03;50;2020-02;50;2020-01;70;2019-12;140;2019-11;110;2019-10;90;2019-09;50;2019-08;20;2019-07;30;2019-06;20;2019-06;20
"nike hoodie mens large";LOW;44;50;0.23;98.5;2020-04;20;2020-03;30;2020-02;20;2020-01;50;2019-12;210;2019-11;90;2019-10;20;2019-09;70;2019-08;10;2019-07;10;2019-06;20;2019-06;20
"light grey nike zip up hoodie";LOW;39;50;0.34;100;2020-04;50;2020-03;70;2020-02;50;2020-01;70;2019-12;170;2019-11;90;2019-10;50;2019-09;50;2019-08;40;2019-07;50;2019-06;10;2019-06;10
